repo,pr_number,before_commit,after_commit
"""cordova-android""",187,,
"""cordova-android""",180,,
"""cordova-android""",176,,
"""cordova-android""",158,https://github.com/apache/cordova-android/commit/1b79a34d5f5a7506db94cf7a799f976e52b9b764,https://github.com/apache/cordova-android/commit/087ec11e6abc61acde4e2860f8ee363f3daba578
"""cordova-android""",143,,
"""cordova-android""",133,,
"""cordova-android""",119,,
"""cordova-android""",98,,
"""cordova-android""",49,,
"""cordova-android""",39,,
"""cordova-android""",27,,
"""cordova-android""",26,,
"""cordova-android""",24,,
"""cordova-android""",17,,
"""cordova-android""",14,,
"""cordova-android""",11,,
"""cordova-android""",3,,
